Date,Product,OpeningStock,ReceivedQuantity,ForecastDemand,DemandUsed,FulfilledDemand,ClosingStock,InventoryPosition,LeadTimeDays,LeadTimeDemand,SafetyStock,ProjectedInventoryAfterLeadTime,NeedReplenishment,OpenPurchaseOrderAvailable,CreatedPO_ID,OrderQuantityCreated,StockoutFlag,UnitsShort,DailyHoldingCost,Action
2025-02-08,EcoFit Smart Bottle,853,3026,247.39,248,248,3631,3631,4,912.9,147,2718,NO,NO,,0,0,0,79.58,Do Nothing
2025-02-09,EcoFit Smart Bottle,3631,0,245.66,246,246,3385,3385,4,898.97,147,2486,NO,NO,,0,0,0,74.19,Do Nothing
2025-02-10,EcoFit Smart Bottle,3385,0,220.31,221,221,3164,3164,4,916.16,147,2247,NO,NO,,0,0,0,69.35,Do Nothing
2025-02-11,EcoFit Smart Bottle,3164,0,218.55,219,219,2945,2945,4,957.82,147,1987,NO,NO,,0,0,0,64.55,Do Nothing
2025-02-12,EcoFit Smart Bottle,2945,0,228.39,229,229,2716,2716,4,987.67,147,1728,NO,NO,,0,0,0,59.53,Do Nothing
2025-02-13,EcoFit Smart Bottle,2716,0,231.73,232,232,2484,2484,4,989.98,147,1494,NO,NO,,0,0,0,54.44,Do Nothing
2025-02-14,EcoFit Smart Bottle,2484,0,237.5,238,238,2246,2246,4,986.67,147,1259,NO,NO,,0,0,0,49.23,Do Nothing
2025-02-15,EcoFit Smart Bottle,2246,0,260.21,261,261,1985,1985,4,971.76,147,1013,NO,NO,,0,0,0,43.51,Do Nothing
2025-02-16,EcoFit Smart Bottle,1985,0,258.24,259,259,1726,1726,4,995.33,147,730,NO,NO,,0,0,0,37.83,Do Nothing
2025-02-17,EcoFit Smart Bottle,1726,0,234.04,235,235,1491,4742,4,1046.49,147,3695,YES,NO,PO-20250217-005,3251,0,0,32.68,Create Purchase Order
2025-02-18,EcoFit Smart Bottle,1491,0,234.19,235,235,1256,4507,4,1116.64,147,3390,NO,YES,,0,0,0,27.53,Do Nothing
2025-02-19,EcoFit Smart Bottle,1256,0,245.3,246,246,1010,4261,4,1136.1,147,3124,NO,YES,,0,0,0,22.14,Do Nothing
2025-02-20,EcoFit Smart Bottle,1010,0,281.8,282,282,728,3979,4,1124.83,147,2854,NO,YES,,0,0,0,15.96,Do Nothing
2025-02-21,EcoFit Smart Bottle,728,3251,285.19,286,286,3693,3693,4,1073.49,147,2619,NO,NO,,0,0,0,80.94,Do Nothing
2025-02-22,EcoFit Smart Bottle,3693,0,304.34,305,305,3388,3388,4,1011.72,147,2376,NO,NO,,0,0,0,74.26,Do Nothing
2025-02-23,EcoFit Smart Bottle,3388,0,264.76,265,265,3123,3123,4,991.03,147,2131,NO,NO,,0,0,0,68.45,Do Nothing
2025-02-24,EcoFit Smart Bottle,3123,0,270.53,271,271,2852,2852,4,967.88,147,1884,NO,NO,,0,0,0,62.51,Do Nothing
2025-02-25,EcoFit Smart Bottle,2852,0,233.86,234,234,2618,2618,4,1001.45,147,1616,NO,NO,,0,0,0,57.38,Do Nothing
2025-02-26,EcoFit Smart Bottle,2618,0,242.57,243,243,2375,2375,4,1021.29,147,1353,NO,NO,,0,0,0,52.05,Do Nothing
2025-02-27,EcoFit Smart Bottle,2375,0,244.07,245,245,2130,2130,4,1045.32,147,1084,NO,NO,,0,0,0,46.68,Do Nothing
2025-02-28,EcoFit Smart Bottle,2130,0,247.38,248,248,1882,1882,4,1027.83,147,854,NO,NO,,0,0,0,41.25,Do Nothing
2025-03-01,EcoFit Smart Bottle,1882,0,267.43,268,268,1614,1614,4,996.84,147,617,NO,NO,,0,0,0,35.37,Do Nothing
2025-03-02,EcoFit Smart Bottle,1614,0,262.41,263,263,1351,4774,4,970.74,147,3803,YES,NO,PO-20250302-006,3423,0,0,29.61,Create Purchase Order
2025-03-03,EcoFit Smart Bottle,1351,0,268.09,269,269,1082,4505,4,942.17,147,3562,NO,YES,,0,0,0,23.71,Do Nothing
2025-03-04,EcoFit Smart Bottle,1082,0,229.9,230,230,852,4275,4,1007.24,147,3267,NO,YES,,0,0,0,18.67,Do Nothing
2025-03-05,EcoFit Smart Bottle,852,0,236.44,237,237,615,4038,4,1029.7,147,3008,NO,YES,,0,0,0,13.48,Do Nothing
2025-03-06,EcoFit Smart Bottle,615,3423,236.3,237,237,3801,3801,4,1061.09,147,2739,NO,NO,,0,0,0,83.31,Do Nothing
2025-03-07,EcoFit Smart Bottle,3801,0,239.53,240,240,3561,3561,4,1054.19,147,2506,NO,NO,,0,0,0,78.05,Do Nothing
2025-03-08,EcoFit Smart Bottle,3561,0,294.98,295,295,3266,3266,4,1001.71,147,2264,NO,NO,,0,0,0,71.58,Do Nothing
2025-03-09,EcoFit Smart Bottle,3266,0,258.89,259,259,3007,3007,4,988.53,147,2018,NO,NO,,0,0,0,65.91,Do Nothing
2025-03-10,EcoFit Smart Bottle,3007,0,267.69,268,268,2739,2739,4,972.6,147,1766,NO,NO,,0,0,0,60.03,Do Nothing
2025-03-11,EcoFit Smart Bottle,2739,0,232.63,233,233,2506,2506,4,1048.82,147,1457,NO,NO,,0,0,0,54.93,Do Nothing
2025-03-12,EcoFit Smart Bottle,2506,0,242.5,243,243,2263,2263,4,1079.04,147,1183,NO,NO,,0,0,0,49.6,Do Nothing
2025-03-13,EcoFit Smart Bottle,2263,0,245.71,246,246,2017,2017,4,1113.91,147,903,NO,NO,,0,0,0,44.21,Do Nothing
2025-03-14,EcoFit Smart Bottle,2017,0,251.76,252,252,1765,1765,4,1106.9,147,658,NO,NO,,0,0,0,38.68,Do Nothing
2025-03-15,EcoFit Smart Bottle,1765,0,308.85,309,309,1456,4208,4,1053.1,147,3154,YES,NO,PO-20250315-007,2752,0,0,31.91,Create Purchase Order
2025-03-16,EcoFit Smart Bottle,1456,0,272.71,273,273,1183,3935,4,1040.03,147,2894,NO,YES,,0,0,0,25.93,Do Nothing
2025-03-17,EcoFit Smart Bottle,1183,0,280.58,281,281,902,3654,4,1060.24,147,2593,NO,YES,,0,0,0,19.77,Do Nothing
2025-03-18,EcoFit Smart Bottle,902,0,244.76,245,245,657,3409,4,1105.48,147,2303,NO,YES,,0,0,0,14.4,Do Nothing
2025-03-19,EcoFit Smart Bottle,657,2752,255.05,256,256,3153,3153,4,1135.83,147,2017,NO,NO,,0,0,0,69.11,Do Nothing
2025-03-20,EcoFit Smart Bottle,3153,0,259.64,260,260,2893,2893,4,1131.68,147,1761,NO,NO,,0,0,0,63.41,Do Nothing
2025-03-21,EcoFit Smart Bottle,2893,0,300.79,301,301,2592,2592,4,1079.87,147,1512,NO,NO,,0,0,0,56.81,Do Nothing
2025-03-22,EcoFit Smart Bottle,2592,0,290.0,290,290,2302,2302,4,1044.89,147,1257,NO,NO,,0,0,0,50.45,Do Nothing
2025-03-23,EcoFit Smart Bottle,2302,0,285.4,286,286,2016,2016,4,1015.56,147,1000,NO,NO,,0,0,0,44.19,Do Nothing
2025-03-24,EcoFit Smart Bottle,2016,0,255.5,256,256,1760,1760,4,1020.84,147,739,NO,NO,,0,0,0,38.57,Do Nothing
2025-03-25,EcoFit Smart Bottle,1760,0,248.98,249,249,1511,1514,4,1088.36,147,425,YES,NO,PO-20250325-008,3,0,0,33.12,Create Purchase Order
2025-03-26,EcoFit Smart Bottle,1511,0,255.02,256,256,1255,1258,4,1111.6,147,146,YES,YES,,0,0,0,27.51,Do Nothing - Open PO Available
2025-03-27,EcoFit Smart Bottle,1255,0,256.07,257,257,998,1001,4,1111.6,147,-111,YES,YES,,0,0,0,21.87,Do Nothing - Open PO Available
2025-03-28,EcoFit Smart Bottle,998,0,260.78,261,261,737,740,4,855.53,147,-116,YES,YES,,0,0,0,16.15,Do Nothing - Open PO Available
2025-03-29,EcoFit Smart Bottle,737,3,316.5,317,317,423,1021,4,594.75,147,426,YES,NO,PO-20250329-009,598,0,0,9.27,Create Purchase Order
2025-03-30,EcoFit Smart Bottle,423,0,278.25,279,279,144,742,4,278.25,147,463,YES,YES,,0,0,0,3.16,Do Nothing - Open PO Available
