Date,Product,ForecastUnits,RequiredWorkers,CurrentStaff,Gap,LaborCost
2023-03-20,EcoFit Smart Bottle,204,9,9,0,8100.0
2023-03-21,EcoFit Smart Bottle,201,9,9,0,8100.0
2023-03-22,EcoFit Smart Bottle,198,9,9,0,8100.0
2023-03-23,EcoFit Smart Bottle,224,10,9,1,8100.0
2023-03-24,EcoFit Smart Bottle,233,10,9,1,8555.62
2023-03-25,EcoFit Smart Bottle,241,11,9,2,9011.25
2023-03-26,EcoFit Smart Bottle,233,10,9,1,8555.62
2023-03-27,EcoFit Smart Bottle,226,10,9,1,8100.0
2023-03-28,EcoFit Smart Bottle,211,9,9,0,8100.0
2023-03-29,EcoFit Smart Bottle,224,10,9,1,8100.0
2023-03-30,EcoFit Smart Bottle,214,10,9,1,8100.0
2023-03-31,EcoFit Smart Bottle,218,10,9,1,8100.0
2023-04-01,EcoFit Smart Bottle,248,11,9,2,9315.0
2023-04-02,EcoFit Smart Bottle,233,10,9,1,8555.62
2023-04-03,EcoFit Smart Bottle,223,10,9,1,8100.0
2023-04-04,EcoFit Smart Bottle,231,10,9,1,8403.75
2023-04-05,EcoFit Smart Bottle,222,10,10,0,9000.0
2023-04-06,EcoFit Smart Bottle,241,11,10,1,9000.0
2023-04-07,EcoFit Smart Bottle,240,11,10,1,9000.0
2023-04-08,EcoFit Smart Bottle,243,11,10,1,9000.0
2023-04-09,EcoFit Smart Bottle,257,11,10,1,9337.5
2023-04-10,EcoFit Smart Bottle,241,11,10,1,9000.0
2023-04-11,EcoFit Smart Bottle,209,9,10,-1,9000.0
2023-04-12,EcoFit Smart Bottle,209,9,10,-1,9000.0
2023-04-13,EcoFit Smart Bottle,224,10,10,0,9000.0
2023-04-14,EcoFit Smart Bottle,242,11,10,1,9000.0
2023-04-15,EcoFit Smart Bottle,290,13,10,3,11193.75
2023-04-16,EcoFit Smart Bottle,260,12,10,2,9506.25
2023-04-17,EcoFit Smart Bottle,227,10,10,0,9000.0
2023-04-18,EcoFit Smart Bottle,210,9,10,-1,9000.0
2023-04-19,EcoFit Smart Bottle,232,10,10,0,9000.0
2023-04-20,EcoFit Smart Bottle,233,10,10,0,9000.0
2023-04-21,EcoFit Smart Bottle,230,10,10,0,9000.0
2023-04-22,EcoFit Smart Bottle,254,11,10,1,9168.75
2023-04-23,EcoFit Smart Bottle,279,12,10,2,10518.75
2023-04-24,EcoFit Smart Bottle,241,11,10,1,9000.0
2023-04-25,EcoFit Smart Bottle,226,10,10,0,9000.0
2023-04-26,EcoFit Smart Bottle,234,10,10,0,9000.0
2023-04-27,EcoFit Smart Bottle,280,12,10,2,10687.5
2023-04-28,EcoFit Smart Bottle,260,12,10,2,9506.25
2023-04-29,EcoFit Smart Bottle,257,11,10,1,9337.5
2023-04-30,EcoFit Smart Bottle,267,12,10,2,9843.75
2023-05-01,EcoFit Smart Bottle,239,11,10,1,9000.0
2023-05-02,EcoFit Smart Bottle,239,11,10,1,9000.0
2023-05-03,EcoFit Smart Bottle,257,11,10,1,9337.5
2023-05-04,EcoFit Smart Bottle,236,11,10,1,9000.0
2023-05-05,EcoFit Smart Bottle,241,11,10,1,9000.0
2023-05-06,EcoFit Smart Bottle,250,11,10,1,9000.0
2023-05-07,EcoFit Smart Bottle,282,12,10,2,10687.5
2023-05-08,EcoFit Smart Bottle,251,11,10,1,9000.0
2023-05-09,EcoFit Smart Bottle,238,11,10,1,9000.0
2023-05-10,EcoFit Smart Bottle,227,10,10,0,9000.0
2023-05-11,EcoFit Smart Bottle,263,12,10,2,9675.0
2023-05-12,EcoFit Smart Bottle,240,11,10,1,9000.0
2023-05-13,EcoFit Smart Bottle,256,11,10,1,9337.5
2023-05-14,EcoFit Smart Bottle,252,11,10,1,9168.75
2023-05-15,EcoFit Smart Bottle,239,11,10,1,9000.0
2023-05-16,EcoFit Smart Bottle,246,11,10,1,9000.0
2023-05-17,EcoFit Smart Bottle,275,12,11,1,9900.0
2023-05-18,EcoFit Smart Bottle,223,10,11,-1,9900.0
2023-05-19,EcoFit Smart Bottle,234,10,11,-1,9900.0
2023-05-20,EcoFit Smart Bottle,262,12,11,1,9900.0
2023-05-21,EcoFit Smart Bottle,279,12,11,1,10085.62
2023-05-22,EcoFit Smart Bottle,241,11,11,0,9900.0
2023-05-23,EcoFit Smart Bottle,212,9,11,-2,9900.0
2023-05-24,EcoFit Smart Bottle,240,11,11,0,9900.0
2023-05-25,EcoFit Smart Bottle,245,11,11,0,9900.0
2023-05-26,EcoFit Smart Bottle,239,11,11,0,9900.0
2023-05-27,EcoFit Smart Bottle,248,11,11,0,9900.0
2023-05-28,EcoFit Smart Bottle,258,11,11,0,9900.0
2023-05-29,EcoFit Smart Bottle,246,11,11,0,9900.0
2023-05-30,EcoFit Smart Bottle,227,10,11,-1,9900.0
2023-05-31,EcoFit Smart Bottle,240,11,11,0,9900.0
2023-06-01,EcoFit Smart Bottle,232,10,11,-1,9900.0
2023-06-02,EcoFit Smart Bottle,242,11,11,0,9900.0
2023-06-03,EcoFit Smart Bottle,253,11,11,0,9900.0
2023-06-04,EcoFit Smart Bottle,259,11,11,0,9900.0
2023-06-05,EcoFit Smart Bottle,250,11,11,0,9900.0
2023-06-06,EcoFit Smart Bottle,243,11,11,0,9900.0
2023-06-07,EcoFit Smart Bottle,269,12,11,1,9900.0
2023-06-08,EcoFit Smart Bottle,286,13,11,2,10456.88
2023-06-09,EcoFit Smart Bottle,256,11,11,0,9900.0
2023-06-10,EcoFit Smart Bottle,284,13,11,2,10456.88
2023-06-11,EcoFit Smart Bottle,257,11,11,0,9900.0
2023-06-12,EcoFit Smart Bottle,249,11,11,0,9900.0
2023-06-13,EcoFit Smart Bottle,226,10,11,-1,9900.0
2023-06-14,EcoFit Smart Bottle,224,10,11,-1,9900.0
2023-06-15,EcoFit Smart Bottle,242,11,11,0,9900.0
2023-06-16,EcoFit Smart Bottle,255,11,11,0,9900.0
2023-06-17,EcoFit Smart Bottle,296,13,11,2,11013.75
2023-06-18,EcoFit Smart Bottle,277,12,11,1,10085.62
2023-06-19,EcoFit Smart Bottle,233,10,11,-1,9900.0
2023-06-20,EcoFit Smart Bottle,254,11,11,0,9900.0
2023-06-21,EcoFit Smart Bottle,248,11,11,0,9900.0
2023-06-22,EcoFit Smart Bottle,235,10,11,-1,9900.0
2023-06-23,EcoFit Smart Bottle,272,12,11,1,9900.0
2023-06-24,EcoFit Smart Bottle,250,11,11,0,9900.0
2023-06-25,EcoFit Smart Bottle,277,12,11,1,10085.62
2023-06-26,EcoFit Smart Bottle,229,10,11,-1,9900.0
2023-06-27,EcoFit Smart Bottle,245,11,11,0,9900.0
2023-06-28,EcoFit Smart Bottle,228,10,11,-1,9900.0
2023-06-29,EcoFit Smart Bottle,240,11,11,0,9900.0
2023-06-30,EcoFit Smart Bottle,261,12,11,1,9900.0
2023-07-01,EcoFit Smart Bottle,259,11,11,0,9900.0
2023-07-02,EcoFit Smart Bottle,262,12,11,1,9900.0
2023-07-03,EcoFit Smart Bottle,249,11,11,0,9900.0
2023-07-04,EcoFit Smart Bottle,236,11,11,0,9900.0
2023-07-05,EcoFit Smart Bottle,242,11,11,0,9900.0
2023-07-06,EcoFit Smart Bottle,240,11,11,0,9900.0
2023-07-07,EcoFit Smart Bottle,262,12,11,1,9900.0
2023-07-08,EcoFit Smart Bottle,265,12,11,1,9900.0
2023-07-09,EcoFit Smart Bottle,289,13,11,2,10642.5
2023-07-10,EcoFit Smart Bottle,248,11,11,0,9900.0
2023-07-11,EcoFit Smart Bottle,241,11,11,0,9900.0
2023-07-12,EcoFit Smart Bottle,247,11,11,0,9900.0
2023-07-13,EcoFit Smart Bottle,245,11,11,0,9900.0
2023-07-14,EcoFit Smart Bottle,259,11,11,0,9900.0
2023-07-15,EcoFit Smart Bottle,265,12,11,1,9900.0
2023-07-16,EcoFit Smart Bottle,258,11,11,0,9900.0
2023-07-17,EcoFit Smart Bottle,231,10,11,-1,9900.0
2023-07-18,EcoFit Smart Bottle,247,11,11,0,9900.0
2023-07-19,EcoFit Smart Bottle,250,11,11,0,9900.0
2023-07-20,EcoFit Smart Bottle,236,11,11,0,9900.0
2023-07-21,EcoFit Smart Bottle,261,12,11,1,9900.0
2023-07-22,EcoFit Smart Bottle,251,11,11,0,9900.0
2023-07-23,EcoFit Smart Bottle,239,11,11,0,9900.0
2023-07-24,EcoFit Smart Bottle,249,11,11,0,9900.0
2023-07-25,EcoFit Smart Bottle,227,10,11,-1,9900.0
2023-07-26,EcoFit Smart Bottle,221,10,11,-1,9900.0
2023-07-27,EcoFit Smart Bottle,222,10,11,-1,9900.0
2023-07-28,EcoFit Smart Bottle,242,11,11,0,9900.0
2023-07-29,EcoFit Smart Bottle,250,11,11,0,9900.0
2023-07-30,EcoFit Smart Bottle,245,11,11,0,9900.0
2023-07-31,EcoFit Smart Bottle,0,0,11,-11,9900.0
2023-08-01,EcoFit Smart Bottle,220,10,11,-1,9900.0
2023-08-02,EcoFit Smart Bottle,236,11,11,0,9900.0
2023-08-03,EcoFit Smart Bottle,250,11,10,1,9000.0
2023-08-04,EcoFit Smart Bottle,244,11,10,1,9000.0
2023-08-05,EcoFit Smart Bottle,234,10,10,0,9000.0
2023-08-06,EcoFit Smart Bottle,234,10,10,0,9000.0
2023-08-07,EcoFit Smart Bottle,214,10,10,0,9000.0
2023-08-08,EcoFit Smart Bottle,227,10,10,0,9000.0
2023-08-09,EcoFit Smart Bottle,224,10,10,0,9000.0
2023-08-10,EcoFit Smart Bottle,216,10,10,0,9000.0
2023-08-11,EcoFit Smart Bottle,242,11,10,1,9000.0
2023-08-12,EcoFit Smart Bottle,244,11,10,1,9000.0
2023-08-13,EcoFit Smart Bottle,260,12,10,2,9506.25
2023-08-14,EcoFit Smart Bottle,230,10,10,0,9000.0
2023-08-15,EcoFit Smart Bottle,248,11,10,1,9000.0
2023-08-16,EcoFit Smart Bottle,234,10,10,0,9000.0
2023-08-17,EcoFit Smart Bottle,215,10,10,0,9000.0
2023-08-18,EcoFit Smart Bottle,238,11,10,1,9000.0
2023-08-19,EcoFit Smart Bottle,239,11,10,1,9000.0
2023-08-20,EcoFit Smart Bottle,242,11,10,1,9000.0
2023-08-21,EcoFit Smart Bottle,235,10,10,0,9000.0
2023-08-22,EcoFit Smart Bottle,262,12,10,2,9675.0
2023-08-23,EcoFit Smart Bottle,229,10,10,0,9000.0
2023-08-24,EcoFit Smart Bottle,209,9,10,-1,9000.0
2023-08-25,EcoFit Smart Bottle,214,10,10,0,9000.0
2023-08-26,EcoFit Smart Bottle,233,10,10,0,9000.0
2023-08-27,EcoFit Smart Bottle,247,11,10,1,9000.0
2023-08-28,EcoFit Smart Bottle,203,9,10,-1,9000.0
2023-08-29,EcoFit Smart Bottle,195,9,10,-1,9000.0
2023-08-30,EcoFit Smart Bottle,215,10,10,0,9000.0
2023-08-31,EcoFit Smart Bottle,219,10,10,0,9000.0
2023-09-01,EcoFit Smart Bottle,246,11,10,1,9000.0
2023-09-02,EcoFit Smart Bottle,234,10,10,0,9000.0
2023-09-03,EcoFit Smart Bottle,208,9,10,-1,9000.0
2023-09-04,EcoFit Smart Bottle,210,9,10,-1,9000.0
2023-09-05,EcoFit Smart Bottle,207,9,10,-1,9000.0
2023-09-06,EcoFit Smart Bottle,206,9,10,-1,9000.0
2023-09-07,EcoFit Smart Bottle,247,11,10,1,9000.0
2023-09-08,EcoFit Smart Bottle,237,11,10,1,9000.0
2023-09-09,EcoFit Smart Bottle,230,10,10,0,9000.0
2023-09-10,EcoFit Smart Bottle,221,10,10,0,9000.0
2023-09-11,EcoFit Smart Bottle,207,9,10,-1,9000.0
2023-09-12,EcoFit Smart Bottle,195,9,9,0,8100.0
2023-09-13,EcoFit Smart Bottle,178,8,9,-1,8100.0
2023-09-14,EcoFit Smart Bottle,210,9,9,0,8100.0
2023-09-15,EcoFit Smart Bottle,221,10,9,1,8100.0
2023-09-16,EcoFit Smart Bottle,231,10,9,1,8403.75
2023-09-17,EcoFit Smart Bottle,228,10,9,1,8251.88
2023-09-18,EcoFit Smart Bottle,187,8,9,-1,8100.0
2023-09-19,EcoFit Smart Bottle,237,11,9,2,8707.5
2023-09-20,EcoFit Smart Bottle,210,9,9,0,8100.0
2023-09-21,EcoFit Smart Bottle,191,9,9,0,8100.0
2023-09-22,EcoFit Smart Bottle,207,9,9,0,8100.0
2023-09-23,EcoFit Smart Bottle,230,10,9,1,8403.75
2023-09-24,EcoFit Smart Bottle,232,10,9,1,8403.75
2023-09-25,EcoFit Smart Bottle,187,8,9,-1,8100.0
2023-09-26,EcoFit Smart Bottle,190,9,9,0,8100.0
2023-09-27,EcoFit Smart Bottle,196,9,9,0,8100.0
2023-09-28,EcoFit Smart Bottle,182,8,9,-1,8100.0
2023-09-29,EcoFit Smart Bottle,241,11,9,2,9011.25
2023-09-30,EcoFit Smart Bottle,238,11,9,2,8859.38
2023-10-01,EcoFit Smart Bottle,266,12,9,3,10378.12
2023-10-02,EcoFit Smart Bottle,204,9,9,0,8100.0
2023-10-03,EcoFit Smart Bottle,178,8,9,-1,8100.0
2023-10-04,EcoFit Smart Bottle,197,9,9,0,8100.0
2023-10-05,EcoFit Smart Bottle,199,9,9,0,8100.0
2023-10-06,EcoFit Smart Bottle,204,9,9,0,8100.0
2023-10-07,EcoFit Smart Bottle,215,10,9,1,8100.0
2023-10-08,EcoFit Smart Bottle,206,9,9,0,8100.0
2023-10-09,EcoFit Smart Bottle,199,9,9,0,8100.0
2023-10-10,EcoFit Smart Bottle,165,8,9,-1,8100.0
2023-10-11,EcoFit Smart Bottle,219,10,9,1,8100.0
2023-10-12,EcoFit Smart Bottle,203,9,9,0,8100.0
2023-10-13,EcoFit Smart Bottle,204,9,9,0,8100.0
2023-10-14,EcoFit Smart Bottle,216,10,9,1,8100.0
2023-10-15,EcoFit Smart Bottle,214,10,9,1,8100.0
2023-10-16,EcoFit Smart Bottle,181,8,9,-1,8100.0
2023-10-17,EcoFit Smart Bottle,181,8,9,-1,8100.0
2023-10-18,EcoFit Smart Bottle,177,8,9,-1,8100.0
2023-10-19,EcoFit Smart Bottle,160,7,9,-2,8100.0
2023-10-20,EcoFit Smart Bottle,193,9,9,0,8100.0
2023-10-21,EcoFit Smart Bottle,228,10,9,1,8251.88
2023-10-22,EcoFit Smart Bottle,213,10,9,1,8100.0
2023-10-23,EcoFit Smart Bottle,193,9,9,0,8100.0
2023-10-24,EcoFit Smart Bottle,227,10,9,1,8251.88
2023-10-25,EcoFit Smart Bottle,172,8,9,-1,8100.0
2023-10-26,EcoFit Smart Bottle,177,8,9,-1,8100.0
2023-10-27,EcoFit Smart Bottle,197,9,9,0,8100.0
2023-10-28,EcoFit Smart Bottle,196,9,9,0,8100.0
2023-10-29,EcoFit Smart Bottle,188,8,9,-1,8100.0
2023-10-30,EcoFit Smart Bottle,182,8,9,-1,8100.0
2023-10-31,EcoFit Smart Bottle,181,8,9,-1,8100.0
2023-11-01,EcoFit Smart Bottle,209,9,9,0,8100.0
2023-11-02,EcoFit Smart Bottle,183,8,9,-1,8100.0
2023-11-03,EcoFit Smart Bottle,203,9,9,0,8100.0
2023-11-04,EcoFit Smart Bottle,220,10,9,1,8100.0
2023-11-05,EcoFit Smart Bottle,190,9,8,1,7200.0
2023-11-06,EcoFit Smart Bottle,228,10,8,2,8685.0
2023-11-07,EcoFit Smart Bottle,159,7,8,-1,7200.0
2023-11-08,EcoFit Smart Bottle,171,8,8,0,7200.0
2023-11-09,EcoFit Smart Bottle,162,7,8,-1,7200.0
2023-11-10,EcoFit Smart Bottle,173,8,8,0,7200.0
2023-11-11,EcoFit Smart Bottle,195,9,8,1,7200.0
2023-11-12,EcoFit Smart Bottle,203,9,8,1,7335.0
2023-11-13,EcoFit Smart Bottle,169,8,8,0,7200.0
2023-11-14,EcoFit Smart Bottle,169,8,8,0,7200.0
2023-11-15,EcoFit Smart Bottle,174,8,9,-1,8100.0
2023-11-16,EcoFit Smart Bottle,173,8,9,-1,8100.0
2023-11-17,EcoFit Smart Bottle,162,7,9,-2,8100.0
2023-11-18,EcoFit Smart Bottle,217,10,9,1,8100.0
2023-11-19,EcoFit Smart Bottle,203,9,9,0,8100.0
2023-11-20,EcoFit Smart Bottle,218,10,9,1,8100.0
2023-11-21,EcoFit Smart Bottle,180,8,9,-1,8100.0
2023-11-22,EcoFit Smart Bottle,179,8,9,-1,8100.0
2023-11-23,EcoFit Smart Bottle,176,8,9,-1,8100.0
2023-11-24,EcoFit Smart Bottle,189,9,9,0,8100.0
2023-11-25,EcoFit Smart Bottle,217,10,9,1,8100.0
2023-11-26,EcoFit Smart Bottle,189,9,9,0,8100.0
2023-11-27,EcoFit Smart Bottle,165,8,9,-1,8100.0
2023-11-28,EcoFit Smart Bottle,187,8,9,-1,8100.0
2023-11-29,EcoFit Smart Bottle,165,8,9,-1,8100.0
2023-11-30,EcoFit Smart Bottle,165,8,9,-1,8100.0
2023-12-01,EcoFit Smart Bottle,178,8,8,0,7200.0
2023-12-02,EcoFit Smart Bottle,192,9,8,1,7200.0
2023-12-03,EcoFit Smart Bottle,187,8,8,0,7200.0
2023-12-04,EcoFit Smart Bottle,174,8,8,0,7200.0
2023-12-05,EcoFit Smart Bottle,179,8,8,0,7200.0
2023-12-06,EcoFit Smart Bottle,162,7,8,-1,7200.0
2023-12-07,EcoFit Smart Bottle,187,8,8,0,7200.0
2023-12-08,EcoFit Smart Bottle,228,10,7,3,9135.0
2023-12-09,EcoFit Smart Bottle,249,11,7,4,10316.25
2023-12-10,EcoFit Smart Bottle,237,11,7,4,9607.5
2023-12-11,EcoFit Smart Bottle,213,10,7,3,8308.12
2023-12-12,EcoFit Smart Bottle,201,9,7,2,7717.5
2023-12-13,EcoFit Smart Bottle,177,8,7,1,6418.12
2023-12-14,EcoFit Smart Bottle,181,8,7,1,6654.38
2023-12-15,EcoFit Smart Bottle,178,8,7,1,6418.12
2023-12-16,EcoFit Smart Bottle,208,9,7,2,8071.88
2023-12-17,EcoFit Smart Bottle,200,9,7,2,7599.38
2023-12-18,EcoFit Smart Bottle,177,8,7,1,6418.12
2023-12-19,EcoFit Smart Bottle,183,8,7,1,6772.5
2023-12-20,EcoFit Smart Bottle,186,8,7,1,6890.62
2023-12-21,EcoFit Smart Bottle,167,8,7,1,6300.0
2023-12-22,EcoFit Smart Bottle,176,8,7,1,6300.0
2023-12-23,EcoFit Smart Bottle,203,9,7,2,7835.62
2023-12-24,EcoFit Smart Bottle,166,8,7,1,6300.0
2023-12-25,EcoFit Smart Bottle,198,9,7,2,7599.38
2023-12-26,EcoFit Smart Bottle,189,9,7,2,7008.75
2023-12-27,EcoFit Smart Bottle,183,8,9,-1,8100.0
2023-12-28,EcoFit Smart Bottle,167,8,9,-1,8100.0
2023-12-29,EcoFit Smart Bottle,191,9,9,0,8100.0
2023-12-30,EcoFit Smart Bottle,187,8,8,0,7200.0
2023-12-31,EcoFit Smart Bottle,214,10,8,2,8010.0
2024-01-01,EcoFit Smart Bottle,203,9,8,1,7335.0
2024-01-02,EcoFit Smart Bottle,234,10,8,2,9090.0
2024-01-03,EcoFit Smart Bottle,198,9,8,1,7200.0
2024-01-04,EcoFit Smart Bottle,184,8,8,0,7200.0
2024-01-05,EcoFit Smart Bottle,183,8,8,0,7200.0
2024-01-06,EcoFit Smart Bottle,200,9,8,1,7200.0
2024-01-07,EcoFit Smart Bottle,188,8,8,0,7200.0
2024-01-08,EcoFit Smart Bottle,174,8,8,0,7200.0
2024-01-09,EcoFit Smart Bottle,166,8,8,0,7200.0
2024-01-10,EcoFit Smart Bottle,170,8,8,0,7200.0
2024-01-11,EcoFit Smart Bottle,159,7,8,-1,7200.0
2024-01-12,EcoFit Smart Bottle,222,10,8,2,8415.0
2024-01-13,EcoFit Smart Bottle,225,10,8,2,8550.0
2024-01-14,EcoFit Smart Bottle,221,10,8,2,8280.0
2024-01-15,EcoFit Smart Bottle,197,9,8,1,7200.0
2024-01-16,EcoFit Smart Bottle,189,9,8,1,7200.0
2024-01-17,EcoFit Smart Bottle,176,8,8,0,7200.0
2024-01-18,EcoFit Smart Bottle,187,8,8,0,7200.0
2024-01-19,EcoFit Smart Bottle,245,11,8,3,9630.0
2024-01-20,EcoFit Smart Bottle,226,10,8,2,8550.0
2024-01-21,EcoFit Smart Bottle,217,10,8,2,8145.0
2024-01-22,EcoFit Smart Bottle,201,9,8,1,7200.0
2024-01-23,EcoFit Smart Bottle,188,8,8,0,7200.0
2024-01-24,EcoFit Smart Bottle,166,8,9,-1,8100.0
2024-01-25,EcoFit Smart Bottle,194,9,9,0,8100.0
2024-01-26,EcoFit Smart Bottle,241,11,9,2,9011.25
2024-01-27,EcoFit Smart Bottle,0,0,9,-9,8100.0
2024-01-28,EcoFit Smart Bottle,0,0,9,-9,8100.0
2024-01-29,EcoFit Smart Bottle,218,10,9,1,8100.0
2024-01-30,EcoFit Smart Bottle,196,9,9,0,8100.0
2024-01-31,EcoFit Smart Bottle,190,9,9,0,8100.0
2024-02-01,EcoFit Smart Bottle,260,12,9,3,9922.5
2024-02-02,EcoFit Smart Bottle,226,10,9,1,8100.0
2024-02-03,EcoFit Smart Bottle,237,11,9,2,8707.5
2024-02-04,EcoFit Smart Bottle,231,10,9,1,8403.75
2024-02-05,EcoFit Smart Bottle,196,9,9,0,8100.0
2024-02-06,EcoFit Smart Bottle,177,8,9,-1,8100.0
2024-02-07,EcoFit Smart Bottle,194,9,9,0,8100.0
2024-02-08,EcoFit Smart Bottle,212,9,9,0,8100.0
2024-02-09,EcoFit Smart Bottle,229,10,9,1,8251.88
2024-02-10,EcoFit Smart Bottle,249,11,9,2,9466.88
2024-02-11,EcoFit Smart Bottle,240,11,9,2,8859.38
2024-02-12,EcoFit Smart Bottle,235,10,9,1,8707.5
2024-02-13,EcoFit Smart Bottle,186,8,9,-1,8100.0
2024-02-14,EcoFit Smart Bottle,202,9,9,0,8100.0
2024-02-15,EcoFit Smart Bottle,208,9,9,0,8100.0
2024-02-16,EcoFit Smart Bottle,214,10,9,1,8100.0
2024-02-17,EcoFit Smart Bottle,247,11,9,2,9315.0
2024-02-18,EcoFit Smart Bottle,248,11,9,2,9315.0
2024-02-19,EcoFit Smart Bottle,221,10,9,1,8100.0
2024-02-20,EcoFit Smart Bottle,222,10,9,1,8100.0
2024-02-21,EcoFit Smart Bottle,222,10,9,1,8100.0
2024-02-22,EcoFit Smart Bottle,233,10,9,1,8555.62
