Date,PredictedUnitsSold,Lower95CI,Upper95CI,ConfidenceInterval,ForecastAccuracy(%),ConfidenceLevel,CI_Width
2025-01-16,207.78857548816123,181.04437305543925,236.71333120202152,181.04 to 236.71,96.52,95%,55.66895814658227
2025-01-17,214.7652695098724,187.22358511059386,243.09973495860547,187.22 to 243.1,96.52,95%,55.87614984801161
2025-01-18,242.0756597998299,214.84507138966504,269.1329284026351,214.85 to 269.13,96.52,95%,54.28785701297008
2025-01-19,240.23199168193358,213.24747477282372,266.7803934511594,213.25 to 266.78,96.52,95%,53.532918678335676
2025-01-20,211.63517251258648,183.7324241995151,240.6167147383626,183.73 to 240.62,96.52,95%,56.884290538847495
2025-01-21,207.9606444960058,180.45656519722718,234.7894856379483,180.46 to 234.79,96.52,95%,54.332920440721125
2025-01-22,216.05934489843978,189.17925037245985,243.93801561142672,189.18 to 243.94,96.52,95%,54.75876523896687
2025-01-23,212.48708380293607,185.0659618986811,237.38082006399677,185.07 to 237.38,96.52,95%,52.314858165315655
2025-01-24,218.5585624698682,193.30711668744354,244.20062208707924,193.31 to 244.2,96.52,95%,50.8935053996357
2025-01-25,242.68026362200402,215.98829194957867,272.08848605129884,215.99 to 272.09,96.52,95%,56.10019410172018
2025-01-26,234.4487640042088,207.14544891833276,262.2216147470223,207.15 to 262.22,96.52,95%,55.07616582868951
2025-01-27,205.3206298374063,176.86056837900236,233.67492284773792,176.86 to 233.67,96.52,95%,56.81435446873556
2025-01-28,203.95553427416579,176.140439906286,229.80299112016493,176.14 to 229.8,96.52,95%,53.66255121387894
2025-01-29,213.08518978728685,187.30342196404894,239.44424818995327,187.3 to 239.44,96.52,95%,52.140826225904334
2025-01-30,212.57450871454918,186.36111473617945,239.54323816002747,186.36 to 239.54,96.52,95%,53.182123423848026
2025-01-31,219.14169564031124,191.79825691611182,246.05082665347172,191.8 to 246.05,96.52,95%,54.25256973735989
2025-02-01,240.20323117575526,212.0615614679489,267.63672751753,212.06 to 267.64,96.52,95%,55.5751660495811
2025-02-02,233.50342259932614,207.14162567582918,258.77927162443666,207.14 to 258.78,96.52,95%,51.637645948607485
2025-02-03,206.69179642856028,179.0394370813367,235.74727280527262,179.04 to 235.75,96.52,95%,56.707835723935915
2025-02-04,202.2161849982701,175.66313727477393,232.17308231895507,175.66 to 232.17,96.52,95%,56.50994504418114
2025-02-05,209.76753287426166,184.3622675321029,238.2948161160257,184.36 to 238.29,96.52,95%,53.932548583922795
2025-02-06,212.7013925431982,185.65818649552864,238.6449986003494,185.66 to 238.64,96.52,95%,52.98681210482076
2025-02-07,223.69519454427783,195.01114093237294,252.43106875680513,195.01 to 252.43,96.52,95%,57.41992782443219
2025-02-08,248.21143634052146,219.0902957312346,276.7554191025228,219.09 to 276.76,96.52,95%,57.66512337128822
2025-02-09,242.86050202570618,215.24326013654934,271.78387731859516,215.24 to 271.78,96.52,95%,56.54061718204582
2025-02-10,218.05916245672293,190.04376778772294,246.50583067830848,190.04 to 246.51,96.52,95%,56.46206289058554
2025-02-11,217.75629742916055,188.40961775723193,243.21803402377793,188.41 to 243.22,96.52,95%,54.808416266546004
2025-02-12,225.38549233366038,196.94071080919903,254.06916632471078,196.94 to 254.07,96.52,95%,57.128455515511746
2025-02-13,226.9416041711558,199.56118627402998,255.07459544861757,199.56 to 255.07,96.52,95%,55.51340917458759
2025-02-14,241.24316935504237,213.6859375084538,268.3236130437612,213.69 to 268.32,96.52,95%,54.63767553530741
2025-02-15,264.05964952954974,235.10464245289674,291.96597633371664,235.1 to 291.97,96.52,95%,56.8613338808199
2025-02-16,251.60987354864287,223.87597070685854,279.4730308155067,223.88 to 279.47,96.52,95%,55.59706010864818
2025-02-17,229.96310009347607,202.5259145832741,259.2842030139861,202.53 to 259.28,96.52,95%,56.758288430711985
2025-02-18,237.28266268722786,212.09943958300775,266.5232350360518,212.1 to 266.52,96.52,95%,54.42379545304405
2025-02-19,242.99708551125735,217.262241442341,268.8532259336768,217.26 to 268.85,96.52,95%,51.5909844913358
2025-02-20,241.02684572193166,214.00499986228334,269.7634240313528,214.0 to 269.76,96.52,95%,55.758424169069485
2025-02-21,254.38825947559351,228.07055620896062,280.64457527939095,228.07 to 280.64,96.52,95%,52.574019070430325
2025-02-22,272.7775339855116,247.2482062049906,300.4588552509121,247.25 to 300.46,96.52,95%,53.210649045921514
2025-02-23,257.28453423325396,228.74315535776822,285.86016424610085,228.74 to 285.86,96.52,95%,57.117008888332634
2025-02-24,234.41246292702067,205.82711987095973,259.6046294401658,205.83 to 259.6,96.52,95%,53.777509569206075
2025-02-25,235.57337367200256,209.48170583358134,262.23063533731755,209.48 to 262.23,96.52,95%,52.74892950373621
2025-02-26,236.88144591153394,209.35231489683053,262.404707537404,209.35 to 262.4,96.52,95%,53.05239264057349
2025-02-27,236.59115131939916,210.4345152894223,265.19543761832887,210.43 to 265.2,96.52,95%,54.76092232890656
2025-02-28,250.9895206468935,220.83542152881267,280.032825231626,220.84 to 280.03,96.52,95%,59.19740370281335
2025-03-01,270.95451655940263,242.38453745140544,297.57405551528853,242.38 to 297.57,96.52,95%,55.1895180638831
2025-03-02,257.75926578085944,230.35611872520116,284.0520125750755,230.36 to 284.05,96.52,95%,53.695893849874324
2025-03-03,232.20310233504574,204.41464024363057,260.83629811258817,204.41 to 260.84,96.52,95%,56.421657868957595
2025-03-04,231.50283400879263,204.72919491611964,259.31571673674796,204.73 to 259.32,96.52,95%,54.58652182062832
2025-03-05,235.70261256948734,208.52728033389593,264.2157488646851,208.53 to 264.22,96.52,95%,55.68846853078918
2025-03-06,234.4660388180848,206.19131817908266,261.87178470151423,206.19 to 261.87,96.52,95%,55.68046652243157
2025-03-07,244.94384333831,218.51170887274475,273.4443759078524,218.51 to 273.44,96.52,95%,54.93266703510767
2025-03-08,265.829319009171,239.08630002327976,293.28011851134835,239.09 to 293.28,96.52,95%,54.19381848806859
2025-03-09,256.68368333552166,228.79652918531227,283.7476669526236,228.8 to 283.75,96.52,95%,54.95113776731134
2025-03-10,234.87454713057448,208.33000798946458,263.8585746079282,208.33 to 263.86,96.52,95%,55.5285666184636
2025-03-11,236.3372886865676,208.6901106746434,262.99455790346036,208.69 to 262.99,96.52,95%,54.30444722881697
2025-03-12,241.4440126207453,212.35046797189455,269.8844415220794,212.35 to 269.88,96.52,95%,57.53397355018484
2025-03-13,243.6765894711222,218.71372340720578,271.7281119503435,218.71 to 271.73,96.52,95%,53.0143885431377
2025-03-14,256.8861068863572,229.61764049694423,285.64774494785627,229.62 to 285.65,96.52,95%,56.030104450912035
2025-03-15,275.8574097406603,247.8803051059149,304.2853749244039,247.88 to 304.29,96.52,95%,56.40506981848901
2025-03-16,267.916952820118,239.99397577829836,293.98990227831706,239.99 to 293.99,96.52,95%,53.9959265000187
2025-03-17,248.51005389663675,218.57720923053316,273.6484145100738,218.58 to 273.65,96.52,95%,55.071205279540635
2025-03-18,243.93446256387512,217.99499993568037,272.39685289794113,217.99 to 272.4,96.52,95%,54.40185296226076
2025-03-19,245.98944706053408,218.94805736893167,274.06424384524814,218.95 to 274.06,96.52,95%,55.11618647631647
2025-03-20,256.34301049346084,229.90065718995393,283.6613979628388,229.9 to 283.66,96.52,95%,53.76074077288487
2025-03-21,273.0859774310254,245.394552780164,300.36272295588384,245.39 to 300.36,96.52,95%,54.96817017571985
2025-03-22,287.9878007350178,260.16073387772667,317.9153363858105,260.16 to 317.92,96.52,95%,57.75460250808385
2025-03-23,278.85921169437063,251.48827140000876,305.34825381611853,251.49 to 305.35,96.52,95%,53.85998241610977
2025-03-24,257.26547499056386,229.65269297568832,285.7726595271199,229.65 to 285.77,96.52,95%,56.11996655143159
2025-03-25,248.30890760862388,222.33565541582888,276.7521522871743,222.34 to 276.75,96.52,95%,54.4164968713454
2025-03-26,249.65372526701654,221.03596776388846,275.93020319282516,221.04 to 275.93,96.52,95%,54.894235428936696
2025-03-27,256.916422268095,229.05543548743387,285.4702642490058,229.06 to 285.47,96.52,95%,56.414828761571954
2025-03-28,267.34182827625403,237.92338891465326,294.57588915040697,237.92 to 294.58,96.52,95%,56.652500235753706
2025-03-29,281.8770665555849,254.15424533328857,310.6212928306505,254.15 to 310.62,96.52,95%,56.467047497361904
2025-03-30,275.1304921946811,246.3025515085324,303.7120298996713,246.3 to 303.71,96.52,95%,57.40947839113889
