Date,Product,StockOnHand,UnitsSold,ReorderPoint,SafetyStock,OrderPlaced,OrderQuantity,SupplierLeadTimeDays,OrderArrived,StockoutFlag,UnitsShort,DailyHoldingCost
2023-02-15,EcoFit Smart Bottle,1241,177.0,993,79,0,0,3,0,0,0,27.2
2023-02-16,EcoFit Smart Bottle,1014,227.0,999,78,0,0,5,0,0,0,22.22
2023-02-17,EcoFit Smart Bottle,813,201.0,1016,76,1,2958,7,0,0,0,17.82
2023-02-18,EcoFit Smart Bottle,601,212.0,1023,75,0,0,5,0,0,0,13.17
2023-02-19,EcoFit Smart Bottle,393,208.0,1034,74,0,0,4,0,0,0,8.61
2023-02-20,EcoFit Smart Bottle,211,182.0,1033,75,0,0,7,0,0,0,4.62
2023-02-21,EcoFit Smart Bottle,0,212.0,1039,75,0,0,5,0,1,1,0.0
2023-02-22,EcoFit Smart Bottle,0,193.0,1040,70,0,0,5,0,1,193,0.0
2023-02-23,EcoFit Smart Bottle,0,199.0,1028,65,0,0,5,0,1,199,0.0
2023-02-24,EcoFit Smart Bottle,2732,226.0,1037,64,0,0,5,1,0,0,59.88
2023-02-25,EcoFit Smart Bottle,2507,225.0,1050,66,0,0,5,0,0,0,54.95
2023-02-26,EcoFit Smart Bottle,2268,239.0,1054,71,0,0,4,0,0,0,49.71
2023-02-27,EcoFit Smart Bottle,2089,179.0,1075,72,0,0,6,0,0,0,45.79
2023-02-28,EcoFit Smart Bottle,1892,197.0,1067,72,0,0,5,0,0,0,41.47
2023-03-01,EcoFit Smart Bottle,1715,177.0,1068,73,0,0,6,0,0,0,37.59
2023-03-02,EcoFit Smart Bottle,1526,189.0,1075,74,0,0,5,0,0,0,33.45
2023-03-03,EcoFit Smart Bottle,1334,192.0,1055,72,0,0,3,0,0,0,29.24
2023-03-04,EcoFit Smart Bottle,1117,217.0,1064,70,0,0,5,0,0,0,24.48
2023-03-05,EcoFit Smart Bottle,898,219.0,1078,70,1,3032,7,0,0,0,19.68
2023-03-06,EcoFit Smart Bottle,700,198.0,1081,66,0,0,5,0,0,0,15.34
2023-03-07,EcoFit Smart Bottle,476,224.0,1079,65,0,0,4,0,0,0,10.43
2023-03-08,EcoFit Smart Bottle,265,211.0,1083,65,0,0,4,0,0,0,5.81
2023-03-09,EcoFit Smart Bottle,68,197.0,1070,63,0,0,4,0,0,0,1.49
2023-03-10,EcoFit Smart Bottle,0,225.0,1064,63,0,0,5,0,1,157,0.0
2023-03-11,EcoFit Smart Bottle,0,215.0,1061,61,0,0,4,0,1,215,0.0
2023-03-12,EcoFit Smart Bottle,2806,226.0,1067,62,0,0,6,1,0,0,61.5
2023-03-13,EcoFit Smart Bottle,2533,273.0,1095,77,0,0,5,0,0,0,55.52
2023-03-14,EcoFit Smart Bottle,2328,205.0,1086,76,0,0,5,0,0,0,51.02
2023-03-15,EcoFit Smart Bottle,2121,207.0,1102,77,0,0,6,0,0,0,46.49
2023-03-16,EcoFit Smart Bottle,1907,214.0,1134,76,0,0,7,0,0,0,41.8
2023-03-17,EcoFit Smart Bottle,1681,226.0,1155,74,0,0,5,0,0,0,36.84
2023-03-18,EcoFit Smart Bottle,1432,249.0,1162,78,0,0,5,0,0,0,31.39
2023-03-19,EcoFit Smart Bottle,1187,245.0,1165,80,0,0,6,0,0,0,26.02
2023-03-20,EcoFit Smart Bottle,983,204.0,1163,80,1,3113,5,0,0,0,21.55
2023-03-21,EcoFit Smart Bottle,782,201.0,1156,81,0,0,3,0,0,0,17.14
2023-03-22,EcoFit Smart Bottle,584,198.0,1149,78,0,0,6,0,0,0,12.8
2023-03-23,EcoFit Smart Bottle,360,224.0,1159,79,0,0,6,0,0,0,7.89
2023-03-24,EcoFit Smart Bottle,127,233.0,1166,79,0,0,5,0,0,0,2.78
2023-03-25,EcoFit Smart Bottle,2999,241.0,1167,80,0,0,4,1,0,0,65.73
2023-03-26,EcoFit Smart Bottle,2766,233.0,1168,80,0,0,5,0,0,0,60.62
2023-03-27,EcoFit Smart Bottle,2540,226.0,1161,80,0,0,4,0,0,0,55.67
2023-03-28,EcoFit Smart Bottle,2329,211.0,1162,79,0,0,5,0,0,0,51.05
2023-03-29,EcoFit Smart Bottle,2105,224.0,1166,75,0,0,6,0,0,0,46.14
2023-03-30,EcoFit Smart Bottle,1891,214.0,1182,74,0,0,7,0,0,0,41.45
2023-03-31,EcoFit Smart Bottle,1673,218.0,1183,68,0,0,6,0,0,0,36.67
2023-04-01,EcoFit Smart Bottle,1425,248.0,1200,68,0,0,6,0,0,0,31.23
2023-04-02,EcoFit Smart Bottle,1192,233.0,1228,66,1,3182,6,0,0,0,26.13
2023-04-03,EcoFit Smart Bottle,969,223.0,1229,66,0,0,5,0,0,0,21.24
2023-04-04,EcoFit Smart Bottle,738,231.0,1216,66,0,0,5,0,0,0,16.18
2023-04-05,EcoFit Smart Bottle,516,222.0,1210,63,0,0,4,0,0,0,11.31
2023-04-06,EcoFit Smart Bottle,275,241.0,1221,64,0,0,5,0,0,0,6.03
2023-04-07,EcoFit Smart Bottle,35,240.0,1249,65,0,0,7,0,0,0,0.77
2023-04-08,EcoFit Smart Bottle,2974,243.0,1272,64,0,0,6,1,0,0,65.18
2023-04-09,EcoFit Smart Bottle,2717,257.0,1280,67,0,0,5,0,0,0,59.55
2023-04-10,EcoFit Smart Bottle,2476,241.0,1293,67,0,0,5,0,0,0,54.27
2023-04-11,EcoFit Smart Bottle,2235,209.0,1281,68,0,0,4,0,0,0,48.99
2023-04-12,EcoFit Smart Bottle,2026,209.0,1263,61,0,0,5,0,0,0,44.41
2023-04-13,EcoFit Smart Bottle,1802,224.0,1264,59,0,0,5,0,0,0,39.5
2023-04-14,EcoFit Smart Bottle,1560,242.0,1254,58,0,0,4,0,0,0,34.19
2023-04-15,EcoFit Smart Bottle,1270,290.0,1264,70,0,0,5,0,0,0,27.84
2023-04-16,EcoFit Smart Bottle,1010,260.0,1264,72,1,3255,4,0,0,0,22.14
2023-04-17,EcoFit Smart Bottle,783,227.0,1268,72,0,0,6,0,0,0,17.16
2023-04-18,EcoFit Smart Bottle,573,210.0,1254,72,0,0,5,0,0,0,12.56
2023-04-19,EcoFit Smart Bottle,341,232.0,1272,70,0,0,7,0,0,0,7.47
2023-04-20,EcoFit Smart Bottle,3363,233.0,1290,67,0,0,5,1,0,0,73.71
2023-04-21,EcoFit Smart Bottle,3133,230.0,1284,63,0,0,5,0,0,0,68.67
2023-04-22,EcoFit Smart Bottle,2879,254.0,1283,64,0,0,5,0,0,0,63.1
2023-04-23,EcoFit Smart Bottle,2600,279.0,1306,71,0,0,6,0,0,0,56.99
2023-04-24,EcoFit Smart Bottle,2359,241.0,1321,71,0,0,6,0,0,0,51.7
2023-04-25,EcoFit Smart Bottle,2133,226.0,1312,71,0,0,4,0,0,0,46.75
2023-04-26,EcoFit Smart Bottle,1899,234.0,1321,71,0,0,5,0,0,0,41.62
2023-04-27,EcoFit Smart Bottle,1619,280.0,1338,75,0,0,5,0,0,0,35.48
2023-04-28,EcoFit Smart Bottle,1359,260.0,1337,76,0,0,5,0,0,0,29.79
2023-04-29,EcoFit Smart Bottle,1102,257.0,1318,74,1,3315,4,0,0,0,24.15
2023-04-30,EcoFit Smart Bottle,835,267.0,1335,74,0,0,7,0,0,0,18.3
2023-05-01,EcoFit Smart Bottle,596,239.0,1325,74,0,0,5,0,0,0,13.06
2023-05-02,EcoFit Smart Bottle,357,239.0,1309,73,0,0,4,0,0,0,7.82
2023-05-03,EcoFit Smart Bottle,3415,257.0,1323,73,0,0,6,1,0,0,74.85
2023-05-04,EcoFit Smart Bottle,3179,236.0,1323,72,0,0,5,0,0,0,69.68
2023-05-05,EcoFit Smart Bottle,2938,241.0,1333,71,0,0,5,0,0,0,64.39
2023-05-06,EcoFit Smart Bottle,2688,250.0,1343,71,0,0,6,0,0,0,58.92
2023-05-07,EcoFit Smart Bottle,2406,282.0,1338,75,0,0,5,0,0,0,52.73
2023-05-08,EcoFit Smart Bottle,2155,251.0,1331,75,0,0,5,0,0,0,47.23
2023-05-09,EcoFit Smart Bottle,1917,238.0,1336,75,0,0,6,0,0,0,42.02
2023-05-10,EcoFit Smart Bottle,1690,227.0,1335,76,0,0,5,0,0,0,37.04
2023-05-11,EcoFit Smart Bottle,1427,263.0,1339,77,0,0,4,0,0,0,31.28
2023-05-12,EcoFit Smart Bottle,1187,240.0,1341,73,1,3357,5,0,0,0,26.02
2023-05-13,EcoFit Smart Bottle,931,256.0,1336,71,0,0,4,0,0,0,20.41
2023-05-14,EcoFit Smart Bottle,679,252.0,1346,71,0,0,5,0,0,0,14.88
2023-05-15,EcoFit Smart Bottle,440,239.0,1323,65,0,0,4,0,0,0,9.64
2023-05-16,EcoFit Smart Bottle,194,246.0,1311,64,0,0,3,0,0,0,4.25
2023-05-17,EcoFit Smart Bottle,3276,275.0,1312,65,0,0,5,1,0,0,71.8
2023-05-18,EcoFit Smart Bottle,3053,223.0,1303,62,0,0,4,0,0,0,66.92
2023-05-19,EcoFit Smart Bottle,2819,234.0,1269,61,0,0,3,0,0,0,61.79
2023-05-20,EcoFit Smart Bottle,2557,262.0,1273,60,0,0,5,0,0,0,56.04
2023-05-21,EcoFit Smart Bottle,2278,279.0,1275,62,0,0,4,0,0,0,49.93
2023-05-22,EcoFit Smart Bottle,2037,241.0,1273,62,0,0,5,0,0,0,44.65
2023-05-23,EcoFit Smart Bottle,1825,212.0,1246,63,0,0,4,0,0,0,40.0
2023-05-24,EcoFit Smart Bottle,1585,240.0,1230,63,0,0,4,0,0,0,34.74
2023-05-25,EcoFit Smart Bottle,1340,245.0,1231,61,0,0,4,0,0,0,29.37
2023-05-26,EcoFit Smart Bottle,1101,239.0,1223,61,1,3371,4,0,0,0,24.13
2023-05-27,EcoFit Smart Bottle,853,248.0,1214,57,0,0,5,0,0,0,18.7
2023-05-28,EcoFit Smart Bottle,595,258.0,1205,57,0,0,4,0,0,0,13.04
2023-05-29,EcoFit Smart Bottle,349,246.0,1211,56,0,0,5,0,0,0,7.65
2023-05-30,EcoFit Smart Bottle,3493,227.0,1172,56,0,0,3,1,0,0,76.56
2023-05-31,EcoFit Smart Bottle,3253,240.0,1171,55,0,0,5,0,0,0,71.3
2023-06-01,EcoFit Smart Bottle,3021,232.0,1163,56,0,0,3,0,0,0,66.21
2023-06-02,EcoFit Smart Bottle,2779,242.0,1151,55,0,0,5,0,0,0,60.91
2023-06-03,EcoFit Smart Bottle,2526,253.0,1162,55,0,0,6,0,0,0,55.36
2023-06-04,EcoFit Smart Bottle,2267,259.0,1174,56,0,0,6,0,0,0,49.69
2023-06-05,EcoFit Smart Bottle,2017,250.0,1182,56,0,0,7,0,0,0,44.21
2023-06-06,EcoFit Smart Bottle,1774,243.0,1155,51,0,0,3,0,0,0,38.88
2023-06-07,EcoFit Smart Bottle,1505,269.0,1168,53,0,0,6,0,0,0,32.99
2023-06-08,EcoFit Smart Bottle,1219,286.0,1181,59,0,0,6,0,0,0,26.72
2023-06-09,EcoFit Smart Bottle,963,256.0,1192,57,1,3367,6,0,0,0,21.11
2023-06-10,EcoFit Smart Bottle,679,284.0,1199,61,0,0,4,0,0,0,14.88
2023-06-11,EcoFit Smart Bottle,422,257.0,1202,61,0,0,5,0,0,0,9.25
2023-06-12,EcoFit Smart Bottle,173,249.0,1226,62,0,0,7,0,0,0,3.79
2023-06-13,EcoFit Smart Bottle,0,226.0,1215,63,0,0,4,0,1,53,0.0
2023-06-14,EcoFit Smart Bottle,0,224.0,1223,65,0,0,5,0,1,224,0.0
2023-06-15,EcoFit Smart Bottle,3125,242.0,1248,66,0,0,6,1,0,0,68.49
2023-06-16,EcoFit Smart Bottle,2870,255.0,1234,63,0,0,4,0,0,0,62.9
2023-06-17,EcoFit Smart Bottle,2574,296.0,1268,69,0,0,6,0,0,0,56.42
2023-06-18,EcoFit Smart Bottle,2297,277.0,1285,71,0,0,4,0,0,0,50.35
2023-06-19,EcoFit Smart Bottle,2064,233.0,1272,71,0,0,4,0,0,0,45.24
2023-06-20,EcoFit Smart Bottle,1810,254.0,1265,68,0,0,4,0,0,0,39.67
2023-06-21,EcoFit Smart Bottle,1562,248.0,1266,68,0,0,5,0,0,0,34.24
2023-06-22,EcoFit Smart Bottle,1327,235.0,1274,64,0,0,5,0,0,0,29.08
2023-06-23,EcoFit Smart Bottle,1055,272.0,1298,66,1,3387,6,0,0,0,23.12
2023-06-24,EcoFit Smart Bottle,805,250.0,1299,66,0,0,4,0,0,0,17.64
2023-06-25,EcoFit Smart Bottle,528,277.0,1315,67,0,0,5,0,0,0,11.57
2023-06-26,EcoFit Smart Bottle,299,229.0,1322,69,0,0,6,0,0,0,6.55
2023-06-27,EcoFit Smart Bottle,54,245.0,1338,70,0,0,6,0,0,0,1.18
2023-06-28,EcoFit Smart Bottle,0,228.0,1327,71,0,0,4,0,1,174,0.0
2023-06-29,EcoFit Smart Bottle,3147,240.0,1355,71,0,0,6,1,0,0,68.98
2023-06-30,EcoFit Smart Bottle,2886,261.0,1357,70,0,0,5,0,0,0,63.25
2023-07-01,EcoFit Smart Bottle,2627,259.0,1379,70,0,0,5,0,0,0,57.58
2023-07-02,EcoFit Smart Bottle,2365,262.0,1381,69,0,0,5,0,0,0,51.84
2023-07-03,EcoFit Smart Bottle,2116,249.0,1380,69,0,0,6,0,0,0,46.38
2023-07-04,EcoFit Smart Bottle,1880,236.0,1369,70,0,0,5,0,0,0,41.21
2023-07-05,EcoFit Smart Bottle,1638,242.0,1334,70,0,0,3,0,0,0,35.9
2023-07-06,EcoFit Smart Bottle,1398,240.0,1342,70,0,0,4,0,0,0,30.64
2023-07-07,EcoFit Smart Bottle,1136,262.0,1340,69,1,3394,6,0,0,0,24.9
2023-07-08,EcoFit Smart Bottle,871,265.0,1325,66,0,0,5,0,0,0,19.09
2023-07-09,EcoFit Smart Bottle,582,289.0,1334,70,0,0,6,0,0,0,12.76
2023-07-10,EcoFit Smart Bottle,334,248.0,1411,69,0,0,14,0,0,0,7.32
2023-07-11,EcoFit Smart Bottle,93,241.0,1477,71,0,0,13,0,0,0,2.04
2023-07-12,EcoFit Smart Bottle,0,247.0,1546,73,0,0,15,0,1,154,0.0
2023-07-13,EcoFit Smart Bottle,3149,245.0,1548,71,0,0,4,1,0,0,69.02
2023-07-14,EcoFit Smart Bottle,2890,259.0,1534,67,0,0,3,0,0,0,63.34
2023-07-15,EcoFit Smart Bottle,2625,265.0,1547,67,0,0,7,0,0,0,57.53
2023-07-16,EcoFit Smart Bottle,2367,258.0,1539,67,0,0,3,0,0,0,51.88
2023-07-17,EcoFit Smart Bottle,2136,231.0,1520,61,0,0,6,0,0,0,46.82
2023-07-18,EcoFit Smart Bottle,1889,247.0,1529,59,0,0,6,0,0,0,41.4
2023-07-19,EcoFit Smart Bottle,1639,250.0,1539,57,0,0,5,0,0,0,35.92
2023-07-20,EcoFit Smart Bottle,1403,236.0,1528,58,1,3381,3,0,0,0,30.75
2023-07-21,EcoFit Smart Bottle,1142,261.0,1540,59,0,0,6,0,0,0,25.03
2023-07-22,EcoFit Smart Bottle,891,251.0,1532,57,0,0,4,0,0,0,19.53
2023-07-23,EcoFit Smart Bottle,4033,239.0,1508,56,0,0,4,1,0,0,88.39
2023-07-24,EcoFit Smart Bottle,3784,249.0,1516,56,0,0,5,0,0,0,82.94
2023-07-25,EcoFit Smart Bottle,3557,227.0,1514,55,0,0,6,0,0,0,77.96
2023-07-26,EcoFit Smart Bottle,3336,221.0,1505,56,0,0,5,0,0,0,73.12
2023-07-27,EcoFit Smart Bottle,3114,222.0,1505,60,0,0,6,0,0,0,68.25
2023-07-28,EcoFit Smart Bottle,2872,242.0,1598,60,0,0,15,0,0,0,62.95
2023-07-29,EcoFit Smart Bottle,2622,250.0,1684,61,0,0,16,0,0,0,57.47
2023-07-30,EcoFit Smart Bottle,2377,245.0,1764,62,0,0,15,0,0,0,52.1
2023-07-31,EcoFit Smart Bottle,2377,0.0,1848,205,0,0,5,0,0,0,52.1
2023-08-01,EcoFit Smart Bottle,2157,220.0,1847,205,0,0,6,0,0,0,47.28
2023-08-02,EcoFit Smart Bottle,1921,236.0,1835,204,0,0,5,0,0,0,42.1
2023-08-03,EcoFit Smart Bottle,1671,250.0,1838,204,1,3295,5,0,0,0,36.62
2023-08-04,EcoFit Smart Bottle,1427,244.0,1847,205,0,0,4,0,0,0,31.28
2023-08-05,EcoFit Smart Bottle,1193,234.0,1846,205,0,0,4,0,0,0,26.15
2023-08-06,EcoFit Smart Bottle,959,234.0,1830,204,0,0,5,0,0,0,21.02
2023-08-07,EcoFit Smart Bottle,745,214.0,1818,203,0,0,5,0,0,0,16.33
2023-08-08,EcoFit Smart Bottle,3813,227.0,1799,198,0,0,6,1,0,0,83.57
2023-08-09,EcoFit Smart Bottle,3589,224.0,1719,194,0,0,5,0,0,0,78.66
2023-08-10,EcoFit Smart Bottle,3373,216.0,1665,191,0,0,7,0,0,0,73.93
2023-08-11,EcoFit Smart Bottle,3131,242.0,1582,186,0,0,5,0,0,0,68.62
2023-08-12,EcoFit Smart Bottle,2887,244.0,1589,186,0,0,5,0,0,0,63.28
2023-08-13,EcoFit Smart Bottle,2627,260.0,1598,187,0,0,4,0,0,0,57.58
2023-08-14,EcoFit Smart Bottle,2397,230.0,1572,184,0,0,5,0,0,0,52.54
2023-08-15,EcoFit Smart Bottle,2149,248.0,1594,185,0,0,6,0,0,0,47.1
2023-08-16,EcoFit Smart Bottle,1915,234.0,1579,184,0,0,4,0,0,0,41.97
2023-08-17,EcoFit Smart Bottle,1700,215.0,1564,183,0,0,5,0,0,0,37.26
2023-08-18,EcoFit Smart Bottle,1462,238.0,1569,183,1,3228,6,0,0,0,32.04
2023-08-19,EcoFit Smart Bottle,1223,239.0,1586,184,0,0,5,0,0,0,26.81
2023-08-20,EcoFit Smart Bottle,981,242.0,1565,182,0,0,4,0,0,0,21.5
2023-08-21,EcoFit Smart Bottle,746,235.0,1577,182,0,0,6,0,0,0,16.35
2023-08-22,EcoFit Smart Bottle,484,262.0,1591,184,0,0,5,0,0,0,10.61
2023-08-23,EcoFit Smart Bottle,255,229.0,1586,183,0,0,5,0,0,0,5.59
2023-08-24,EcoFit Smart Bottle,3274,209.0,1583,184,0,0,6,1,0,0,71.76
2023-08-25,EcoFit Smart Bottle,3060,214.0,1590,185,0,0,6,0,0,0,67.07
2023-08-26,EcoFit Smart Bottle,2827,233.0,1584,184,0,0,5,0,0,0,61.96
2023-08-27,EcoFit Smart Bottle,2580,247.0,1497,179,0,0,4,0,0,0,56.55
2023-08-28,EcoFit Smart Bottle,2377,203.0,1399,173,0,0,5,0,0,0,52.1
2023-08-29,EcoFit Smart Bottle,2182,195.0,1310,168,0,0,5,0,0,0,47.82
2023-08-30,EcoFit Smart Bottle,1967,215.0,1223,60,0,0,3,0,0,0,43.11
2023-08-31,EcoFit Smart Bottle,1748,219.0,1223,60,0,0,6,0,0,0,38.31
2023-09-01,EcoFit Smart Bottle,1502,246.0,1226,61,0,0,5,0,0,0,32.92
2023-09-02,EcoFit Smart Bottle,1268,234.0,1229,59,0,0,6,0,0,0,27.79
2023-09-03,EcoFit Smart Bottle,1060,208.0,1225,61,1,3237,4,0,0,0,23.23
2023-09-04,EcoFit Smart Bottle,850,210.0,1237,62,0,0,6,0,0,0,18.63
2023-09-05,EcoFit Smart Bottle,643,207.0,1227,64,0,0,4,0,0,0,14.09
2023-09-06,EcoFit Smart Bottle,437,206.0,1226,65,0,0,5,0,0,0,9.58
2023-09-07,EcoFit Smart Bottle,3427,247.0,1215,66,0,0,4,1,0,0,75.11
2023-09-08,EcoFit Smart Bottle,3190,237.0,1218,66,0,0,5,0,0,0,69.92
2023-09-09,EcoFit Smart Bottle,2960,230.0,1204,65,0,0,5,0,0,0,64.88
2023-09-10,EcoFit Smart Bottle,2739,221.0,1199,64,0,0,5,0,0,0,60.03
2023-09-11,EcoFit Smart Bottle,2532,207.0,1194,65,0,0,5,0,0,0,55.5
2023-09-12,EcoFit Smart Bottle,2337,195.0,1191,65,0,0,5,0,0,0,51.22
2023-09-13,EcoFit Smart Bottle,2159,178.0,1197,72,0,0,6,0,0,0,47.32
2023-09-14,EcoFit Smart Bottle,1949,210.0,1181,70,0,0,5,0,0,0,42.72
2023-09-15,EcoFit Smart Bottle,1728,221.0,1179,70,0,0,4,0,0,0,37.87
2023-09-16,EcoFit Smart Bottle,1497,231.0,1181,70,0,0,5,0,0,0,32.81
2023-09-17,EcoFit Smart Bottle,1269,228.0,1179,69,0,0,6,0,0,0,27.81
2023-09-18,EcoFit Smart Bottle,1082,187.0,1180,72,1,3170,6,0,0,0,23.72
2023-09-19,EcoFit Smart Bottle,845,237.0,1194,72,0,0,6,0,0,0,18.52
2023-09-20,EcoFit Smart Bottle,635,210.0,1167,71,0,0,3,0,0,0,13.92
2023-09-21,EcoFit Smart Bottle,444,191.0,1151,67,0,0,5,0,0,0,9.73
2023-09-22,EcoFit Smart Bottle,237,207.0,1155,67,0,0,6,0,0,0,5.19
2023-09-23,EcoFit Smart Bottle,7,230.0,1151,67,0,0,5,0,0,0,0.15
2023-09-24,EcoFit Smart Bottle,2945,232.0,1140,67,0,0,4,1,0,0,64.55
2023-09-25,EcoFit Smart Bottle,2758,187.0,1134,69,0,0,5,0,0,0,60.45
2023-09-26,EcoFit Smart Bottle,2568,190.0,1124,68,0,0,4,0,0,0,56.28
2023-09-27,EcoFit Smart Bottle,2372,196.0,1131,69,0,0,6,0,0,0,51.99
2023-09-28,EcoFit Smart Bottle,2190,182.0,1130,71,0,0,5,0,0,0,48.0
2023-09-29,EcoFit Smart Bottle,1949,241.0,1159,74,0,0,6,0,0,0,42.72
2023-09-30,EcoFit Smart Bottle,1711,238.0,1157,76,0,0,5,0,0,0,37.5
2023-10-01,EcoFit Smart Bottle,1445,266.0,1157,80,0,0,4,0,0,0,31.67
2023-10-02,EcoFit Smart Bottle,1241,204.0,1152,80,0,0,6,0,0,0,27.2
2023-10-03,EcoFit Smart Bottle,1063,178.0,1166,84,1,3121,6,0,0,0,23.3
2023-10-04,EcoFit Smart Bottle,866,197.0,1149,84,0,0,4,0,0,0,18.98
2023-10-05,EcoFit Smart Bottle,667,199.0,1156,85,0,0,5,0,0,0,14.62
2023-10-06,EcoFit Smart Bottle,463,204.0,1140,84,0,0,3,0,0,0,10.15
2023-10-07,EcoFit Smart Bottle,248,215.0,1146,81,0,0,6,0,0,0,5.44
2023-10-08,EcoFit Smart Bottle,42,206.0,1132,79,0,0,4,0,0,0,0.92
2023-10-09,EcoFit Smart Bottle,2964,199.0,1112,78,0,0,3,1,0,0,64.96
2023-10-10,EcoFit Smart Bottle,2799,165.0,1093,82,0,0,3,0,0,0,61.35
2023-10-11,EcoFit Smart Bottle,2580,219.0,1096,83,0,0,5,0,0,0,56.55
2023-10-12,EcoFit Smart Bottle,2377,203.0,1104,83,0,0,6,0,0,0,52.1
2023-10-13,EcoFit Smart Bottle,2173,204.0,1098,80,0,0,5,0,0,0,47.63
2023-10-14,EcoFit Smart Bottle,1957,216.0,1099,80,0,0,5,0,0,0,42.89
2023-10-15,EcoFit Smart Bottle,1743,214.0,1098,80,0,0,4,0,0,0,38.2
2023-10-16,EcoFit Smart Bottle,1562,181.0,1083,80,0,0,4,0,0,0,34.24
